"document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized"
"00936497f5884881f1df23f4834f6739552cee8b,train,The initial exploration is to find the source of what?,The Nile river,The Nile river,The initial exploration is to find the source of what ?,The Nile river,The Nile river"
"00936497f5884881f1df23f4834f6739552cee8b,train,What area is described as a desert but is actually a savanna?,The interior of Africa near modern day Central African Republic.,Chad,What area is described as a desert but is actually a savanna ?,The interior of Africa near modern day Central African Republic .,Chad"
"00936497f5884881f1df23f4834f6739552cee8b,train,What are the names of Dr. Ferguson's companions?,""Joe and Richard """"Dick"""" Kennedy"",""Joe and Richard """"Dick"""" Kennedy"",What are the names of Dr. Ferguson s companions ?,Joe and Richard Dick Kennedy,Joe and Richard Dick Kennedy"
"00936497f5884881f1df23f4834f6739552cee8b,train,Where does the trip begin on the east coast?,Zanzibar,Zanzibar,Where does the trip begin on the east coast ?,Zanzibar,Zanzibar"
"00936497f5884881f1df23f4834f6739552cee8b,train,Where do Dr. Samuel Ferguson and his companions travel across in the hydrogen balloon?,The African continent ,Africa,Where do Dr. Samuel Ferguson and his companions travel across in the hydrogen balloon ?,The African continent,Africa"
"00936497f5884881f1df23f4834f6739552cee8b,train,Who was Dr. Ferguson's man servant?,Joe. ,Joe,Who was Dr. Ferguson s man servant ?,Joe .,Joe"
"00936497f5884881f1df23f4834f6739552cee8b,train,What type of gas is used in the balloon?,Hydrogen,Hydrogen.,What type of gas is used in the balloon ?,Hydrogen,Hydrogen ."
"00936497f5884881f1df23f4834f6739552cee8b,train,What is the primary focus of the explorers at the beginning of their journey?,They are seeking out the source of the Nile River. ,Linking the voyages of  Burton and Speke with Barth.,What is the primary focus of the explorers at the beginning of their journey ?,They are seeking out the source of the Nile River .,Linking the voyages of Burton and Speke with Barth ."
"00936497f5884881f1df23f4834f6739552cee8b,train,What sort of landscape is used to describe the interior of Africa?,Desert ,Desert,What sort of landscape is used to describe the interior of Africa ?,Desert,Desert"
"00936497f5884881f1df23f4834f6739552cee8b,train,""When the balloon is over run by condors, what does Joe decide to do?"",Joe jumps out of the balloon. ,He jumps out of the balloon.,""When the balloon is over run by condors , what does Joe decide to do ?"",Joe jumps out of the balloon .,He jumps out of the balloon ."
"00936497f5884881f1df23f4834f6739552cee8b,train,What is Dick Kennedy's profession?,He is a professional hunter. ,He is a professional hunter.,What is Dick Kennedy s profession ?,He is a professional hunter .,He is a professional hunter ."
"00936497f5884881f1df23f4834f6739552cee8b,train,Which explorer had previously gone on expeditions in the areas around the regions of the Sahara and Chad?,Heinrich Barth ,Heinrich Barth.,Which explorer had previously gone on expeditions in the areas around the regions of the Sahara and Chad ?,Heinrich Barth,Heinrich Barth ."
"00936497f5884881f1df23f4834f6739552cee8b,train,Which country do the explorers return to after their African expedition?,England,England,Which country do the explorers return to after their African expedition ?,England,England"
"00936497f5884881f1df23f4834f6739552cee8b,train,Where does the explorers trip in Africa begin?,Zanzibar/on the east coast,The east coast of Zanzibar.,Where does the explorers trip in Africa begin ?,Zanzibar/on the east coast,The east coast of Zanzibar ."
"00936497f5884881f1df23f4834f6739552cee8b,train,Why did the explorers save the missionary?,The native tribe was preparing to sacrifice him. ,Because he was going to be sacrificed,Why did the explorers save the missionary ?,The native tribe was preparing to sacrifice him .,Because he was going to be sacrificed"
"00936497f5884881f1df23f4834f6739552cee8b,train,Who accompanied Dr.Samuel Ferguson on  his trip to Africa?,""His friend, Richard """"Dick"""" Kennedy and his manservant Joe"",""His manservant Joe and pro hunter Richard """"Dick"""" Kennedy"",Who accompanied Dr.Samuel Ferguson on his trip to Africa ?,""His friend , Richard Dick Kennedy and his manservant Joe"",His manservant Joe and pro hunter Richard Dick Kennedy"
"00936497f5884881f1df23f4834f6739552cee8b,train,What was Dr. Ferguson's profession?,He was a scholar and an explorer,He was an explorer.,What was Dr. Ferguson s profession ?,He was a scholar and an explorer,He was an explorer ."
"00936497f5884881f1df23f4834f6739552cee8b,train,Why did Joe jumped out of the balloon?,Because it was attacked by condors,It was being attacked by condors,Why did Joe jumped out of the balloon ?,Because it was attacked by condors,It was being attacked by condors"
"00936497f5884881f1df23f4834f6739552cee8b,train,What was the purpose of Dr. Ferguson's trip to Africa?,To link together the trips of Sir. Richard Burton and John Hanning Speke with those of Heinrich Barth,To link together multiple other voyages to fully explore Africa.,What was the purpose of Dr. Ferguson s trip to Africa ?,To link together the trips of Sir . Richard Burton and John Hanning Speke with those of Heinrich Barth,To link together multiple other voyages to fully explore Africa ."
"00936497f5884881f1df23f4834f6739552cee8b,train,What was the first African place they landed on?,Zanzibar,Zanzibar,What was the first African place they landed on ?,Zanzibar,Zanzibar"
"00936497f5884881f1df23f4834f6739552cee8b,train,What did Mr. Kennedy do for a living?,He was a professional hunter,Professional Hunter,What did Mr. Kennedy do for a living ?,He was a professional hunter,Professional Hunter"
"00936497f5884881f1df23f4834f6739552cee8b,train,What was the main focus at the beginning of the trip?,They wanted to find the source of the Nile,Finding the source of the Nile River.,What was the main focus at the beginning of the trip ?,They wanted to find the source of the Nile,Finding the source of the Nile River ."
"00936497f5884881f1df23f4834f6739552cee8b,train,Where was the starting point of the trip?,England,Zanzibar,Where was the starting point of the trip ?,England,Zanzibar"
"00936497f5884881f1df23f4834f6739552cee8b,train,Who did they rescue from a native tribe?,A missionary man,A missionary,Who did they rescue from a native tribe ?,A missionary man,A missionary"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What was the name of Olivia's former master that she was escaping from?,Shah Amurath,Shah Amurath,What was the name of Olivia s former master that she was escaping from ?,Shah Amurath,Shah Amurath"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What were the ancient ruins decorated with on the deserted island where Conan and Olivia slept?,Statues,Lifelike statues.,What were the ancient ruins decorated with on the deserted island where Conan and Olivia slept ?,Statues,Lifelike statues ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates who knocked him unconscious?,Olivia,Olivia,Who frees Conan from the pirates who knocked him unconscious ?,Olivia,Olivia"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What is the name of the city Olivia is escaping from?,Akif,Akif,What is the name of the city Olivia is escaping from ?,Akif,Akif"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What do Conan and Olivia use to flee the deserted island?,Pirate ship,They use the pirates own ship.,What do Conan and Olivia use to flee the deserted island ?,Pirate ship,They use the pirates own ship ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What happens to the Captain of the pirate ship that docks on the deserted island?,Conan slays him.,Conan challenges and kills him,What happens to the Captain of the pirate ship that docks on the deserted island ?,Conan slays him .,Conan challenges and kills him"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""As they leave the island, what does Conan say he will make Olivia?"",Queen of the Blue Sea,Queen of the Blue Sea,""As they leave the island , what does Conan say he will make Olivia ?"",Queen of the Blue Sea,Queen of the Blue Sea"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who else is on the the ship as Conan and Olivia depart the deserted island?,pirates from the ship,A giant man ape was aboard the ship.,Who else is on the the ship as Conan and Olivia depart the deserted island ?,pirates from the ship,A giant man ape was aboard the ship ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Where was Conan hiding out when he found Olivia?,Marshes,In the reeds,Where was Conan hiding out when he found Olivia ?,Marshes,In the reeds"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What do the pirates nickname the island?,""""""Devil Island"""""",the Devil Island,What do the pirates nickname the island ?,Devil Island,the Devil Island"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What was the title of the story?,Shadows in the Moonlight,shadows in the moonlight,What was the title of the story ?,Shadows in the Moonlight,shadows in the moonlight"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who Fled the city of Akif?,Olivia,Olivia,Who Fled the city of Akif ?,Olivia,Olivia"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Why was the newcomer nearly mad?,He hidden in the reeds for so long,He was hiding in the reeds for so long,Why was the newcomer nearly mad ?,He hidden in the reeds for so long,He was hiding in the reeds for so long"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Where did they stay the first night?,In ancient ruins with lifelike statues,In some ruins,Where did they stay the first night ?,In ancient ruins with lifelike statues,In some ruins"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What was Conan more concerned about?,Something lurking in the jungle,What lurked in the jungle,What was Conan more concerned about ?,Something lurking in the jungle,What lurked in the jungle"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What comes into port on the island?,A pirate ship,A pirate ship,What comes into port on the island ?,A pirate ship,A pirate ship"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who was the dark figure?,A giant man ape,Man-ape.,Who was the dark figure ?,A giant man ape,Man-ape ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What was happening back at the ruins?,a horrific slaughter,Conan is held captive by drunk pirates,What was happening back at the ruins ?,a horrific slaughter,Conan is held captive by drunk pirates"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What was the island called?,Devil Island,Devil Island,What was the island called ?,Devil Island,Devil Island"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""Who was made """"Queen of the Blue Sea""""?"",Olivia,olivia ,Who was made Queen of the Blue Sea ?,Olivia,olivia"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""At the start of story, what is Olivia escaping?"",""Life in the city of Akif, under her former master, Shah Amurath."",""She is running from Shah Amurath, a sadistic rogue."",""At the start of story , what is Olivia escaping ?"",""Life in the city of Akif , under her former master , Shah Amurath ."",""She is running from Shah Amurath , a sadistic rogue ."""
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who does the mad man who defeats Olivia's pursuer turn out to be? ,Conan the Cimmerian.,Conan,Who does the mad man who defeats Olivia s pursuer turn out to be ?,Conan the Cimmerian .,Conan"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Where do Conan and Olivia seek refuge to take a rest?,In ancient ruins on a deserted island.,Ancient ruins,Where do Conan and Olivia seek refuge to take a rest ?,In ancient ruins on a deserted island .,Ancient ruins"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""When Conan and Olivia spend the night in the ancient ruins, what is Olivia concerned about?"",""That the statues were once men, and they will come to life and attack them. "",Statues coming to life ,""When Conan and Olivia spend the night in the ancient ruins , what is Olivia concerned about ?"",""That the statues were once men , and they will come to life and attack them ."",Statues coming to life"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What does Conan do before he is captured by pirates?,Kill the pirate captain.,Kills the pirate captain,What does Conan do before he is captured by pirates ?,Kill the pirate captain .,Kills the pirate captain"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What do the pirates do with Conan after they tie him up?,""They talk about what to do with him, drink too much, and fall asleep."",take him to ruins,What do the pirates do with Conan after they tie him up ?,""They talk about what to do with him , drink too much , and fall asleep ."",take him to ruins"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates?,Olivia.,Olivia,Who frees Conan from the pirates ?,Olivia .,Olivia"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What followed Olivia through the jungle and back to the ruins?,A giant man-ape.,a giant man-ape,What followed Olivia through the jungle and back to the ruins ?,A giant man-ape .,a giant man-ape"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""After the man-ape is defeated, where do Olivia and Conan go?"",To take over the pirate ship.,back to pirate ship,""After the man-ape is defeated , where do Olivia and Conan go ?"",To take over the pirate ship .,back to pirate ship"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What happens when Conan is confronted by the pirates at the end of the story?,The pirates make him their captain.,""He challenges them, and they accept him as captain"",What happens when Conan is confronted by the pirates at the end of the story ?,The pirates make him their captain .,""He challenges them , and they accept him as captain"""
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Where was Olivia held captive at?,Akif,Akif,Where was Olivia held captive at ?,Akif,Akif"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What body of water is Olivia corned in a marsh near?,Vilayet Sea,Vilayet sea,What body of water is Olivia corned in a marsh near ?,Vilayet Sea,Vilayet sea"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What is the newcomers' name that Olivia meets?,Conan,Conan the Cimmerian ,What is the newcomers ' name that Olivia meets ?,Conan,Conan the Cimmerian"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Where does Olivia and Conan hide after fleeing Shuh Amurath?,Boat,In a boat,Where does Olivia and Conan hide after fleeing Shuh Amurath ?,Boat,In a boat"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What does Olivia think of the statues in the moonlight?,That they will come to life,That they will come to life. ,What does Olivia think of the statues in the moonlight ?,That they will come to life,That they will come to life ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What shows up at the deserted island?,Pirate ship,A man-ape,What shows up at the deserted island ?,Pirate ship,A man-ape"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What does Olivia escape away from when going to the ruins?,Dark Figure,captivity,What does Olivia escape away from when going to the ruins ?,Dark Figure,captivity"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,""According to the pirates, what is the name of the island?"",Devil Island,Devil Island.,""According to the pirates , what is the name of the island ?"",Devil Island,Devil Island ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who made Conan a captain?,Pirates,Beating the prior captain,Who made Conan a captain ?,Pirates,Beating the prior captain"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What did Conan say he will do to Olivia?,""Make her """"Queen of the Blue Sea"""""",Make her the queen of the blue sea,What did Conan say he will do to Olivia ?,Make her Queen of the Blue Sea,Make her the queen of the blue sea"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What city has Olivia fled from?,Olivia has fled from Akif.,Akif,What city has Olivia fled from ?,Olivia has fled from Akif .,Akif"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who is chasing and pursuing olivia?,Shah Amurath is chasing Olivia.,Shah,Who is chasing and pursuing olivia ?,Shah Amurath is chasing Olivia .,Shah"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What is being lobbed at Olivia from the jungle?,Giant boulders are being lobbed at Olivia.,boulders,What is being lobbed at Olivia from the jungle ?,Giant boulders are being lobbed at Olivia .,boulders"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What knocks Conan unconscious?,A stone from a ling knocks him unconscious.,a stone,What knocks Conan unconscious ?,A stone from a ling knocks him unconscious .,a stone"
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates?,Olivia frees Conan from the pirates.,Olivia frees Conan from the pirates.,Who frees Conan from the pirates ?,Olivia frees Conan from the pirates .,Olivia frees Conan from the pirates ."
"00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,What nickname do the pirates give the island?,Devil Island.,devil island,What nickname do the pirates give the island ?,Devil Island .,devil island"
